"Ocupacion","NoPago","TotalMonto","EstadoContrato","Producto","FechaInicioC","FechaAdjudicación","FechaUltimoPago","FechaProyectadaFin","MontoVencido","Mensualidad","Ingresos","Legal","EdadActual","AZULEstatus","AdjudicaReal","PagosPuntuales","CostoAdmin","Genero","PersonaTipo","dtEstadoContrato","GrupoOrigenVenta","SemanasAdjud","Pagos9","Domicilia_Pago","Email","timetotV"
96,34,302613,6,0,20150515,20150619,20180202,20200515,45387,5043,18765,0,23,1,2,25,16944,0,0,2,0,5,9,0,1,43
28,29,141580,1,0,20161021,20170317,20190121,20211021,11795,2359,12502,0,50,1,2,24,13683,0,0,1,3,21,8,0,1,33
50,49,232935,6,0,20150515,20150619,20190502,20200515,0,3882,17049,1,25,1,2,49,23716,0,0,2,0,5,9,0,1,49
97,55,324547,1,0,20150619,20150619,20191106,20200619,0,5409,31665,1,26,1,2,55,26356,1,0,1,0,0,8,0,1,55
50,29,145348,1,0,20150918,20160415,20180117,20200918,19376,2422,13928,0,52,1,2,21,14382,1,0,1,0,30,9,1,1,34
28,56,307458,1,0,20151120,20161216,20200630,20201120,30744,5124,18730,0,27,0,0,50,26227,0,0,1,0,56,8,0,1,58
77,43,264785,1,0,20150821,20170120,20190201,20200821,35304,4413,29639,0,34,0,0,35,20811,0,0,1,3,74,8,0,1,46
85,60,317152,5,0,20150320,20160415,20200218,20200320,10570,5285,26136,1,38,0,0,58,28693,0,0,2,0,56,9,0,1,62
97,30,130641,1,0,20150320,20161021,20170824,20200320,19593,2177,9873,0,47,0,0,21,15181,1,0,1,3,83,8,1,1,32
43,44,314768,5,0,20160219,20161216,20190918,20210219,0,5246,23012,1,31,0,0,44,20799,1,0,2,4,43,7,0,1,44
125,57,298029,0,0,20150619,20160520,20200205,20200619,39736,4967,32661,0,49,0,0,49,27120,0,0,0,3,48,9,0,1,62
15,60,404145,1,0,20161021,20170421,20220519,20211021,0,6735,40341,1,40,1,2,60,29130,1,0,1,3,26,9,1,1,60
77,56,247619,0,0,20150220,20181019,20200228,20200220,0,4126,21748,1,25,0,0,56,29218,0,0,0,0,191,9,0,1,56
58,40,392562,6,0,20150116,20150918,20180425,20200116,0,6542,20617,1,37,1,2,40,19962,0,0,2,3,35,9,1,1,40
12,59,428693,1,0,20160819,20170120,20210504,20210819,7144,7144,42315,1,26,1,2,58,26716,0,0,1,0,22,8,0,1,60
53,56,252510,0,0,20150220,20151120,20191129,20200220,4208,4208,19053,1,34,0,0,55,27054,1,0,0,3,39,9,1,1,57
28,30,129747,5,0,20151120,20170818,20180425,20201120,19458,2162,12462,0,19,0,0,21,14724,0,0,2,0,91,9,0,1,38
97,32,178941,5,0,20150116,20160115,20170803,20200116,26838,2982,20597,0,42,0,2,23,16231,0,0,2,0,52,5,0,1,39
23,58,316751,0,0,20160923,20180316,20220103,20210923,5279,5279,28133,1,66,0,0,57,28871,0,1,0,0,77,9,0,1,59
23,58,309512,0,0,20160923,20180316,20220103,20210923,51580,5158,29278,0,66,0,0,48,28871,0,1,0,0,77,9,0,1,64
50,38,204857,0,0,20150320,20160415,20180425,20200320,27312,3414,17581,0,18,1,2,30,18912,0,0,0,0,56,8,1,1,44
126,52,321066,6,0,20160819,20161118,20201001,20210819,5351,5351,25897,1,28,1,2,51,23824,0,0,2,3,13,8,0,1,53
97,60,396402,0,0,20150619,20160415,20210419,20200619,13212,6606,43307,1,48,1,2,58,29368,0,0,0,3,43,8,1,1,62
50,34,220449,0,0,20150821,20160617,20180511,20200821,22044,3674,21661,0,34,0,0,28,16751,0,0,0,3,43,9,0,1,39
80,60,413490,1,0,20160819,20170317,20210726,20210819,13782,6891,33165,1,55,1,2,58,27524,1,1,1,0,30,8,0,1,61
50,9,12705,1,0,20150515,20150717,20210907,20200515,844,2000,1440,0,32,1,2,5,36089,0,0,1,3,9,3,1,1,13
117,46,205224,0,0,20150220,20160115,20181101,20200220,13680,3420,18911,0,28,0,0,42,22626,0,0,0,1,47,8,0,1,47
42,60,671330,1,0,20160923,20170217,20220302,20210923,11188,11188,39877,1,46,1,2,59,30146,0,0,1,3,21,8,0,1,61
6,55,469860,1,0,20150619,20151016,20200522,20200619,7831,7831,44091,1,53,1,2,54,28939,0,0,1,0,17,8,1,1,56
18,53,302961,5,0,20160520,20170120,20200901,20210520,10098,5049,18151,1,25,0,0,51,24428,1,0,2,3,35,9,0,1,55
80,60,305123,0,0,20150220,20160318,20200312,20200220,5085,5085,31217,1,38,0,0,59,29646,0,0,0,3,56,8,1,1,61
97,60,301818,0,0,20150220,20160115,20200213,20200220,10060,5030,23164,1,82,0,0,58,29218,1,1,0,3,47,9,0,1,61
